date,Open,High,Low,Close,Adj Close,Volume,DollarPrice,DollarChangeRate,OilPrice,OilChangeRate,Interest,InterestRateChange,copper,copperChangeRate,nextdayprice,result
2018-01-02,42.540001,43.075001,42.314999,43.064999,40.888065,102223600,91.87,-0.41,60.37,0.22,1.42,6.77,3.278,-0.68,43.057499,0
2018-01-03,43.1325,43.637501,42.990002,43.057499,40.880951,118071600,92.16,0.32,61.63,2.09,1.42,0,3.2575,-0.63,43.2575,1
2018-01-04,43.134998,43.3675,43.02,43.2575,41.070831,89738400,91.85,-0.34,62.01,0.62,1.42,0,3.263,0.17,43.75,1
2018-01-05,43.360001,43.842499,43.262501,43.75,41.538429,94640000,91.95,0.11,61.44,-0.92,1.42,0,3.2295,-1.03,43.587502,0
2018-01-08,43.587502,43.9025,43.482498,43.587502,41.384155,82271200,92.36,0.45,61.73,0.47,1.42,0,3.224,-0.17,43.5825,0
2018-01-09,43.637501,43.764999,43.352501,43.5825,41.379402,86336000,92.53,0.18,62.96,1.99,1.42,0,3.216,-0.25,43.572498,0
2018-01-10,43.290001,43.575001,43.25,43.572498,41.369923,95839600,92.33,-0.22,63.57,0.97,1.42,0,3.2355,0.61,43.82,1
2018-01-11,43.647499,43.872501,43.622501,43.82,41.6049,74670800,91.85,-0.52,63.8,0.36,1.42,0,3.233,-0.08,44.272499,1
2018-01-12,44.044998,44.34,43.912498,44.272499,42.034527,101672400,90.97,-0.96,64.3,0.78,1.42,0,3.2185,-0.45,44.047501,0
2018-01-16,44.474998,44.8475,44.035,44.047501,41.820896,118263600,90.39,-0.64,63.73,-1.54,1.42,0,3.2195,0.03,44.775002,1
2018-01-17,44.037498,44.8125,43.767502,44.775002,42.511639,137547200,90.54,0.17,63.97,0.38,1.42,0,3.189,-0.95,44.814999,1
2018-01-18,44.842499,45.025002,44.5625,44.814999,42.549603,124773600,90.5,-0.04,63.95,-0.03,1.42,0,3.199,0.31,44.615002,0
2018-01-19,44.6525,44.895,44.352501,44.615002,42.359726,129700400,90.57,0.08,63.37,-0.91,1.42,0,3.1875,-0.36,44.25,0
2018-01-22,44.325001,44.445,44.150002,44.25,42.013168,108434400,90.4,-0.19,63.49,0.19,1.42,0,3.1985,0.35,44.259998,1
2018-01-23,44.325001,44.860001,44.205002,44.259998,42.022659,130756400,90.12,-0.31,64.47,1.54,1.42,0,3.111,-2.74,43.555,0
2018-01-24,44.3125,44.325001,43.299999,43.555,41.353298,204420400,89.21,-1.01,65.61,1.77,1.42,0,3.2285,3.78,42.7775,0
2018-01-25,43.627499,43.737499,42.6325,42.7775,40.615105,166116000,89.39,0.2,65.51,-0.15,1.42,0,3.2165,-0.37,42.877499,1
2018-01-26,43,43,42.514999,42.877499,40.710041,156572000,89.07,-0.36,66.14,0.96,1.42,0,3.199,-0.54,41.990002,0
2018-01-29,42.540001,42.540001,41.767502,41.990002,39.867413,202561600,89.31,0.27,65.56,-0.88,1.42,0,3.194,-0.16,41.7425,0
2018-01-30,41.3825,41.842499,41.174999,41.7425,39.632416,184192800,89.16,-0.17,64.5,-1.62,1.42,0,3.1995,0.17,41.857498,1
2018-01-31,41.717499,42.110001,41.625,41.857498,39.741611,129915600,89.13,-0.03,64.73,0.36,1.34,-5.63,3.2065,0.22,41.945,1
2018-02-01,41.7925,42.154999,41.689999,41.945,39.824688,188923200,88.67,-0.52,65.8,1.65,1.42,5.97,3.22,0.42,40.125,0
2018-02-02,41.5,41.700001,40.025002,40.125,38.09668,346375200,89.19,0.59,65.45,-0.53,1.42,0,3.198,-0.68,39.122501,0
2018-02-05,39.775002,40.970001,39,39.122501,37.144867,290954000,89.55,0.4,64.15,-1.99,1.42,0,3.2315,1.05,40.7575,1
2018-02-06,38.7075,40.93,38.5,40.7575,38.697205,272975200,89.58,0.03,63.39,-1.18,1.42,0,3.2,-0.97,39.884998,0
2018-02-07,40.772499,40.849998,39.767502,39.884998,37.86882,206434400,90.25,0.75,61.79,-2.52,1.42,0,3.098,-3.19,38.787498,0
2018-02-08,40.072498,40.25,38.7575,38.787498,36.826797,217562000,90.23,-0.02,61.15,-1.04,1.42,0,3.092,-0.19,39.102501,1
2018-02-09,39.267502,39.4725,37.560001,39.102501,37.277237,282690400,90.44,0.23,59.2,-3.19,1.42,0,3.0435,-1.57,40.677502,1
